exit,10.7130537033,7.47435379028,0.0,0.0,0.0,-0.622419611342,0.782683733967
dinning room,7.42861417814,3.94701084956,0.0,0.0,0.0,0.134297940237,0.990940998873
party room,4.94748277627,4.10224296578,0.0,0.0,0.0,-0.969172832799,0.24638185843
living room,2.70748919986,0.800564848009,0.0,0.0,0.0,0.158111282775,0.987421299274
bedroom,8.45430499499,2.02432155342,0.0,0.0,0.0,0.132734528137,0.991151625656
start,0.145009040833,-0.0277137309313,0.0,0.0,0.0,-0.0167938911442,0.999858972666
bar,4.74859762192,5.83006954193,0.0,0.0,0.0,0.743096802116,0.669183937856 
point1,3.74272322655,1.42497587204,0.0,0.0,0.0,0.0881079724608,0.996110930162
point2,6.84714746475,1.73751437664,0.0,0.0,0.0,0.0393266634296,0.999226407549
point3,6.69589614868,3.2734401226,0.0,0.0,0.0,0.748502423814,0.663132054379
point4,6.44052553177,4.58508443832,0.0,0.0,0.0,-0.996340444079,0.0854735016946
point5,6.31987428665,6.39369106293,0.0,0.0,0.0,0.0645593639328,0.997913868292
point6,10.5954017639,6.9764084816,0.0,0.0,0.0,0.753095629893,0.657911067118
point7,10.4302520752,8.66586208344,0.0,0.0,0.0,0.763809180617,0.645442124133
ask,1.44876658916,0.158879458904,0.0,0.0,0.0,0.0233876909268,0.999726470547
